,Name,Score,Score_Rank,Popularity_Rank,Members,Favorites,Studio,episodes,Genres,Theme(s),Demographic,rating,duration,platform,aired_time,overview,related_animes,caracter_name,hero,sup_heros,supporters,Adaptation,Prequel,Alternative_version,Side_story,Sequel
185,Tensei shitara Slime Datta Ken 2nd Season,8.39,186,183,854347,10282,8bit,12,"Action, Adventure, Comedy, Fantasy","Isekai, Mythology, Reincarnation",Shoujo,PG-13 - Teens 13 or older,23 min. ,TV,Jan 12/2021 to Mar 30/2021,"Taking a break from his time as a teacher, the powerful slime Rimuru Tempest returns to his kingdom, eponymously named Tempest, just in time to begin negotiations with a nearby nation—the Kingdom of Eurazania. While the negotiations are anything but peaceful, they do end successfully, allowing Rimuru to return and finish teaching. When trying to again return to Tempest, this time permanently, Rimuru is stopped by a mysterious figure who is somehow able to constrain the many magical abilities he has at his disposal.In Tempest, the situation is even worse. A group of unknown humans has invaded the land and are assaulting its citizens, both influential and innocent. They are not just trying to bring harm either—they have the intent to kill. Can Rimuru overcome his powerful and dangerous foe and return to Tempest before it is too late?","{'Adaptation': 'Tensei shitara Slime Datta Ken', 'Prequel': 'Tensei shitara Slime Datta Ken', 'Sequel': 'Tensei shitara Slime Datta Ken 2nd Season Part 2', 'Summary': 'Tensei shitara Slime Datta Ken 2nd Season__Kanwa - Veldora Nikki 2'}","{'Rimuru Tempest': 'Main', 'Milim Nava': 'Supporting', 'Veldora Tempest': 'Supporting'}",Rimuru Tempest,[],"['Milim Nava', 'Veldora Tempest']",Tensei shitara Slime Datta Ken,Tensei shitara Slime Datta Ken,,,Tensei shitara Slime Datta Ken 2nd Season Part 2
186,Tian Guan Ci Fu,8.39,187,1712,116213,4365,Haoliners Animation League,11,"Action, Adventure, Drama, Supernatural",Historical,Shoujo,PG-13 - Teens 13 or older,25 min. ,ONA,Oct 31/2020 to Jan 2/2021,"The heavens shake, the thunder rumbles, and Xie Lian appears with an apologetic smile—again! Eight hundred years prior, he was a beloved martial god, known as the Crown Prince of Xianle. Now, he ascends to the heavenly realm for the third time, but simply as a pitiful scrap-collecting god with no followers behind him.On his first mission, Xie Lian finds himself alone in the dark moonlit night. There, a gentle man dressed in red guides him through the forest. However, as abruptly as he appeared, the man suddenly dissipates into a swarm of silver butterflies.Xie Lian later learns that this mysterious stranger was none other than Hua Cheng, the Crimson Rain Sought Flower, a Ghost King feared by both demons and gods alike. But before Xie Lian can figure out why Hua Cheng would help a Heavenly Official like himself, he meets San Lang. A young man possessing great knowledge on not only the Ghost King, but also the now forgotten Crown Prince, San Lang decides to accompany Xie Lian on his journey of unveiling the mysteries of the past.","{'Adaptation': 'Tian Guan Ci Fu', 'Sequel': 'Tian Guan Ci Fu Special'}","{'Cheng Hua': 'Main', 'Lian Xie': 'Main', 'Qingxuan Shi': 'Supporting', 'Qing Mu': 'Supporting', 'Wen Ling': 'Supporting', 'Yao Fu': 'Supporting', 'Feng Nan': 'Supporting', 'Ming Pei': 'Supporting', 'Yi Ming': 'Supporting', 'Xiu Pei': 'Supporting'}",Cheng Hua,['Lian Xie'],"['Qingxuan Shi', 'Qing Mu', 'Wen Ling', 'Yao Fu', 'Feng Nan', 'Ming Pei', 'Yi Ming', 'Xiu Pei']",Tian Guan Ci Fu,,,,Tian Guan Ci Fu Special
187,Non Non Biyori Nonstop,8.38,188,1744,114109,899,SILVER LINK.,12,"Action, Adventure, Drama, Supernatural","CGDCT, Iyashikei",Seinen,PG-13 - Teens 13 or older,24 min. ,TV,Jan 11/2021 to Mar 29/2021,"The carefree journeys of the four girls continue! As their fleeting yet eventful summer becomes a distant memory, the arrival of fall signals a new school year with limitless opportunities. Even as the four girls return to their peaceful routine, the appearance of new faces enlivens the anything but exciting rural life of Asahigaoka.Non Non Biyori Nonstop leisurely walks back into the lives of Hotaru Ichijou, Komari Koshigaya, Natsumi Koshigaya, and Renge Miyauchi as they fully embrace their rural lifestyles and turn anything they find into nothing but fun!","{'Adaptation': 'Non Non Biyori', 'Prequel': 'Non Non Biyori Movie__Vacation', 'Sequel': 'Non Non Biyori Nonstop__Bukatsu wo Ganbatta'}","{'Renge Miyauchi': 'Main', 'Komari Koshigaya': 'Main', 'Hotaru Ichijou': 'Main', 'Natsumi Koshigaya': 'Main', 'Kaede Kagayama': 'Supporting', 'Suguru Koshigaya': 'Supporting', 'Hikage Miyauchi': 'Supporting', 'Kazuho Miyauchi': 'Supporting', 'Konomi Fujimiya': 'Supporting'}",Renge Miyauchi,"['Komari Koshigaya', 'Hotaru Ichijou', 'Natsumi Koshigaya']","['Kaede Kagayama', 'Suguru Koshigaya', 'Hikage Miyauchi', 'Kazuho Miyauchi', 'Konomi Fujimiya']",Non Non Biyori,Non Non Biyori Movie__Vacation,,,Non Non Biyori Nonstop__Bukatsu wo Ganbatta
188,3-gatsu no Lion,8.38,189,288,646250,15008,Shaft,22,"Drama, Slice of Life","Childcare, Iyashikei, Strategy Game",Seinen,PG-13 - Teens 13 or older,25 min. ,TV,Oct 8/2016 to Mar 18/2017,"Having reached professional status in middle school, Rei Kiriyama is one of the few elite in the world of shogi. Due to this, he faces an enormous amount of pressure, both from the shogi community and his adoptive family. Seeking independence from his tense home life, he moves into an apartment in Tokyo. As a 17-year-old living on his own, Rei tends to take poor care of himself, and his reclusive personality ostracizes him from his peers in school and at the shogi hall.However, not long after his arrival in Tokyo, Rei meets Akari, Hinata, and Momo Kawamoto, a trio of sisters living with their grandfather who owns a traditional wagashi shop. Akari, the oldest of the three girls, is determined to combat Rei loneliness and poorly sustained lifestyle with motherly hospitality. The Kawamoto sisters, coping with past tragedies, also share with Rei a unique familial bond that he has lacked for most of his life. As he struggles to maintain himself physically and mentally through his shogi career, Rei must learn how to interact with others and understand his own complex emotions.","{'Adaptation': '3-gatsu no Lion', 'Other': '3-gatsu no Lion meets Bump of Chicken', 'Summary': '3-gatsu no Lion Recap', 'Sequel': '3-gatsu no Lion 2nd Season', 'Spin-off': '3-gatsu no Lion__Ugoku! Nya Shogi'}","{'Rei Kiriyama': 'Main', 'Hinata Kawamoto': 'Main', 'Akari Kawamoto': 'Main', 'Momo Kawamoto': 'Main', 'Kai Shimada': 'Supporting', 'Harunobu Nikaidou': 'Supporting', 'Takashi Hayashida': 'Supporting', 'Kyouko Kouda': 'Supporting', 'Touji Souya': 'Supporting', 'Eisaku Noguchi': 'Supporting'}",Rei Kiriyama,"['Hinata Kawamoto', 'Akari Kawamoto', 'Momo Kawamoto']","['Kai Shimada', 'Harunobu Nikaidou', 'Takashi Hayashida', 'Kyouko Kouda', 'Touji Souya', 'Eisaku Noguchi']",3-gatsu no Lion,,,,3-gatsu no Lion 2nd Season
189,Barakamon,8.38,190,298,632101,12482,Kinema Citrus,12,"Drama, Slice of Life","Childcare, Iyashikei, Visual Arts",Seinen,PG-13 - Teens 13 or older,22 min. ,TV,Jul 6/2014 to Sep 28/2014,"Seishuu Handa is an up-and-coming calligrapher: young, handsome, talented, and unfortunately, a narcissist to boot. When a veteran labels his award-winning piece as ""unoriginal,"" Seishuu quickly loses his cool with severe repercussions.As punishment, and also in order to aid him in self-reflection, Seishuu father exiles him to the Goto Islands, far from the comfortable Tokyo lifestyle the temperamental artist is used to. Now thrown into a rural setting, Seishuu must attempt to find new inspiration and develop his own unique art style—that is, if boisterous children (headed by the frisky Naru Kotoishi), fujoshi middle schoolers, and energetic old men stop barging into his house! The newest addition to the intimate and quirky Goto community only wants to get some work done, but the islands are far from the peaceful countryside he signed up for. Thanks to his wacky neighbors who are entirely incapable of minding their own business, the arrogant calligrapher learns so much more than he ever hoped to.","{'Adaptation': 'Barakamon', 'Other': 'Mijikamon', 'Prequel': 'Handa-kun'}","{'Naru Kotoishi': 'Main', 'Sei Handa': 'Main', 'Tamako Arai': 'Supporting', 'Miwa Yamamura': 'Supporting', 'Hina Kubota': 'Supporting', 'Hiroshi Kido': 'Supporting', 'Emi Handa': 'Supporting', 'Takao Kawafuji': 'Supporting', 'Kazuyuki Sakamoto': 'Supporting', 'Kentarou Oohama': 'Supporting'}",Naru Kotoishi,['Sei Handa'],"['Tamako Arai', 'Miwa Yamamura', 'Hina Kubota', 'Hiroshi Kido', 'Emi Handa', 'Takao Kawafuji', 'Kazuyuki Sakamoto', 'Kentarou Oohama']",Barakamon,Handa-kun,,,
190,Boku no Hero Academia 6th Season,8.38,191,399,502279,5810,Bones,25,"Drama, Slice of Life","School, Super Power",Shounen,PG-13 - Teens 13 or older,23 min. ,TV,Oct 1/2022 to Mar 25/2023,"With Tomura Shigaraki at its helm, the former Liberation Army is now known as the Paranormal Liberation Front. This organized criminal group poses an immense threat to the Hero Association, not only because of its sheer size and strength, but also the overpowering quirks of Jin ""Twice"" Bubaigawara and Gigantomachia.As new intel from the covert hero Keigo ""Hawks"" Takami confirms that Shigaraki is nowhere to be seen, the Hero Association decides to strike the enemy headquarters with a surprise attack using the entirety of its assets—and the UA students find themselves on the battlefield once again. As the fight rages on, the unsuspecting villains must regroup and push back, but the brave heroes are determined to eradicate every last one of them.","{'Adaptation': 'Boku no Hero Academia', 'Prequel': 'Boku no Hero Academia 5th Season', 'Other': 'Bokurano', 'Sequel': 'Boku no Hero Academia 7th Season'}","{'Izuku Midoriya': 'Main', 'Shouto Todoroki': 'Supporting', 'Katsuki Bakugou': 'Supporting', 'Shouta Aizawa': 'Supporting', 'Eijirou Kirishima': 'Supporting', 'Ochako Uraraka': 'Supporting', 'Himiko Toga': 'Supporting', 'Tsuyu Asui': 'Supporting'}",Izuku Midoriya,[],"['Shouto Todoroki', 'Katsuki Bakugou', 'Shouta Aizawa', 'Eijirou Kirishima', 'Ochako Uraraka', 'Himiko Toga', 'Tsuyu Asui']",Boku no Hero Academia,Boku no Hero Academia 5th Season,,,Boku no Hero Academia 7th Season
191,Cowboy Bebop: Tengoku no Tobira,8.38,192,597,356769,1423,Bones,1,"Action, Sci-Fi","Adult Cast, Space",Shounen,R - 17+ (violence & profanity),1 hr. 55 min.,Movie,Sep 1/2001,"Another day, another bounty—such is the life of the often unlucky crew of the Bebop. However, this routine is interrupted when Faye, who is chasing a fairly worthless target on Mars, witnesses an oil tanker suddenly explode, causing mass hysteria. As casualties mount due to a strange disease spreading through the smoke from the blast, a whopping three hundred million woolong price is placed on the head of the supposed perpetrator.With lives at stake and a solution to their money problems in sight, the Bebop crew springs into action. Spike, Jet, Faye, and Edward, followed closely by Ein, split up to pursue different leads across Alba City. Through their individual investigations, they discover a cover-up scheme involving a pharmaceutical company, revealing a plot that reaches much further than the ragtag team of bounty hunters could have realized.",{'Parent story': 'Cowboy Bebop'},"{'Spike Spiegel': 'Main', 'Faye Valentine': 'Main', 'Edward Wong Hau Pepelu Tivrusky IV': 'Main', 'Jet Black': 'Main', 'Vincent Volaju': 'Main', 'Electra Ovilo': 'Main'}",Spike Spiegel,"['Faye Valentine', 'Edward Wong Hau Pepelu Tivrusky IV', 'Jet Black', 'Vincent Volaju', 'Electra Ovilo']",[],,,,,
192,Kimetsu no Yaiba: Mugen Ressha-hen,8.38,193,330,594290,3767,ufotable,7,"Action, Fantasy",Historical,Shounen,R - 17+ (violence & profanity),24 min. ,TV,Oct 10/2021 to Nov 28/2021,"A mysterious string of disappearances on a certain train has caught the attention of the Demon Slayer Corps, and they have sent one of their best to exterminate what can only be a demon responsible. However, the plan to board the Mugen Train is delayed by a lesser demon who is terrorizing the mechanics and targeting a kind, elderly woman and her granddaughter. Kyoujurou Rengoku, the Flame Pillar, must eliminate the threat before boarding the train.Sent to assist the Pillar, Tanjirou Kamado, Inosuke Hashibira, and Zenitsu Agatsuma enter the train prepared to fight. But their monstrous target already has a devious plan in store for them and the two hundred passengers: by delving deep into their consciousness, the demon intends to obliterate everyone in a stunning display of the power held by the Twelve Demon Moons.","{'Adaptation': 'Kimetsu no Yaiba', 'Prequel': 'Kimetsu no Yaiba', 'Alternative version': 'Kimetsu no Yaiba Movie__Mugen Ressha-hen', 'Sequel': 'Kimetsu no Yaiba__Yuukaku-hen'}","{'Tanjirou Kamado': 'Main', 'Zenitsu Agatsuma': 'Main', 'Inosuke Hashibira': 'Main', 'Nezuko Kamado': 'Main', 'Kyoujurou Rengoku': 'Main', 'Shinobu Kochou': 'Supporting', 'Giyuu Tomioka': 'Supporting', 'Tengen Uzui': 'Supporting', 'Mitsuri Kanroji': 'Supporting', 'Muichirou Tokitou': 'Supporting'}",Tanjirou Kamado,"['Zenitsu Agatsuma', 'Inosuke Hashibira', 'Nezuko Kamado', 'Kyoujurou Rengoku']","['Shinobu Kochou', 'Giyuu Tomioka', 'Tengen Uzui', 'Mitsuri Kanroji', 'Muichirou Tokitou']",Kimetsu no Yaiba,Kimetsu no Yaiba,Kimetsu no Yaiba Movie__Mugen Ressha-hen,,Kimetsu no Yaiba__Yuukaku-hen
193,Baccano!,8.37,194,176,871166,22833,Brain's Base,13,"Action, Comedy, Mystery, Supernatural","Historical, Organized Crime",Shounen,R - 17+ (violence & profanity),24 min. ,TV,Jul 27/2007 to Nov 2/2007,"During the early 1930s in Chicago, the transcontinental train, Flying Pussyfoot, is starting its legendary journey that will leave a trail of blood all over the country. At the same time in New York, the ambitious scientist Szilard and his unwilling aide Ennis are looking for missing bottles of the immortality elixir. In addition, a war between the mafia groups is getting worse. On board the Advena Avis, in 1711, alchemists are about to learn the price of immortality.Based on the award-winning light novels of the same name, Baccano! follows several events that initially seem unrelated, both in time and place, but are part of a much bigger story—one of alchemy, survival, and immortality. Merging these events together are the kindhearted would-be thieves, Isaac and Miria, connecting various people, all of them with their own hidden ambitions and agendas, and creating lifelong bonds and consequences for everyone involved.","{'Adaptation': 'Baccano!', 'Sequel': 'Baccano! Specials'}","{'Isaac Dian': 'Main', 'Claire Stanfield': 'Main', 'Miria Harvent': 'Main', 'Ladd Russo': 'Main', 'Firo Prochainezo': 'Main', 'Jacuzzi Splot': 'Main', 'Chane Laforet': 'Main', 'Luck Gandor': 'Main', 'Czesław Meyer': 'Main'}",Isaac Dian,"['Claire Stanfield', 'Miria Harvent', 'Ladd Russo', 'Firo Prochainezo', 'Jacuzzi Splot', 'Chane Laforet', 'Luck Gandor', 'Czesław Meyer']",[],Baccano!,,,,Baccano! Specials
194,Fumetsu no Anata e,8.37,195,205,796381,13462,Brain's Base,20,"Adventure, Drama, Supernatural","Historical, Organized Crime",Shounen,R - 17+ (violence & profanity),25 min. ,TV,Apr 12/2021 to Aug 30/2021,"An Orb, known only as It, is cast to Earth to be observed from afar. Capable of changing forms from beings whose reflections It captures, It first becomes a rock and then, due to the rising temperature, moss.It does not move until one snowy day, a wolf at death door barely crosses by. When It takes the animal form, It attains awareness of its consciousness and starts to wander with an unclear destination in mind. Soon, It comes across the wolf master—a young boy waiting for his tribe to return from a paradise abundant with fish and fruit in the south. Although the boy is lonely, he still hopes those whom he holds dear in his memories have not forgotten him and that he will reunite with them one day.The boy wants to explore new surroundings and decides to abandon his home with It to find the paradise using the traces his tribe left behind. However, with a heavily injured body and no sight of his elder comrades, what will become of the boy?Fumetsu no Anata e illustrates the story of an immortal being experiencing humanity, meeting all types of people in many places throughout time.","{'Adaptation': 'Fumetsu no Anata e', 'Summary': 'Fumetsu no Anata e__Fushi no Tabiji', 'Sequel': 'Fumetsu no Anata e Season 2'}","{'Tonari Dalton': 'Main', 'Rynn Cropp': 'Supporting'}",Tonari Dalton,[],['Rynn Cropp'],Fumetsu no Anata e,,,,Fumetsu no Anata e Season 2
195,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.37,196,273,672153,13448,feel.,12,"Comedy, Romance","Love Polygon, School",Shounen,PG-13 - Teens 13 or older,24 min. ,TV,Jul 10/2020 to Sep 25/2020,"Resolved to become a more independent person, Yukino Yukinoshita decides to smoothen things out with her parents, and the first step toward achieving that goal is to prove herself.As graduation draws closer for the third-year students, Iroha Isshiki—the president of the student council—requests a graduation prom in collaboration with the Volunteer Service Club. Yukino accepts this request of her own volition, hoping to use it as a chance to demonstrate her self-reliance, but what lies ahead of her may prove to be a hard hurdle to cross.Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan revolves around the graduation prom as emotions are poured into the preparations for the event. At the same time, a chance for the Volunteer Service Club members to better understand each other presents itself. And thus, Hachiman Hikigaya hectic and bittersweet high school life begins to draw to a close.","{'Adaptation': 'Yahari Ore no Seishun Love Comedy wa Machigatteiru.', 'Prequel': 'Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku', 'Other': 'Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan OVA'}","{'Hachiman Hikigaya': 'Main', 'Yukino Yukinoshita': 'Main', 'Yui Yuigahama': 'Main', 'Iroha Isshiki': 'Main', 'Shizuka Hiratsuka': 'Supporting', 'Saika Totsuka': 'Supporting', 'Komachi Hikigaya': 'Supporting', 'Saki Kawasaki': 'Supporting', 'Haruno Yukinoshita': 'Supporting', 'Hayato Hayama': 'Supporting'}",Hachiman Hikigaya,"['Yukino Yukinoshita', 'Yui Yuigahama', 'Iroha Isshiki']","['Shizuka Hiratsuka', 'Saika Totsuka', 'Komachi Hikigaya', 'Saki Kawasaki', 'Haruno Yukinoshita', 'Hayato Hayama']",Yahari Ore no Seishun Love Comedy wa Machigatteiru.,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,,,
196,Kizumonogatari I: Tekketsu-hen,8.37,197,401,501308,3359,Shaft,1,"Action, Mystery, Supernatural",Vampire,Shounen,R - 17+ (violence & profanity),1 hr. 4 min.,Movie,Jan 8/2016,"During Koyomi Araragi second year at Naoetsu Private High School, he has a chance encounter with Tsubasa Hanekawa, the top honor student in his class. When they strike up a conversation, Hanekawa mentions a shocking rumor: a vampire with beautiful blonde hair and freezing cold eyes has been seen lurking around town.Happy to have made a new friend, Araragi writes off the rumor and goes about the rest of his evening in a carefree manner. However, on his way home, he stumbles across splatters of blood leading down the stairs to the subway. His curiosity pushes him to investigate further, so he follows the gruesome pools into the depths of the station.When he arrives at the source of the blood, he is terrified by what he sees—the rumored blonde vampire herself, completely dismembered. After she calls for his help, Araragi must make a decision, one which carries the potential to change his life forever.","{'Adaptation': 'Monogatari Series__First Season', 'Sequel': 'Kizumonogatari II__Nekketsu-hen'}","{'Shinobu Oshino': 'Main', 'Koyomi Araragi': 'Main', 'Tsubasa Hanekawa': 'Main', 'Meme Oshino': 'Supporting'}",Shinobu Oshino,"['Koyomi Araragi', 'Tsubasa Hanekawa']",['Meme Oshino'],Monogatari Series__First Season,,,,Kizumonogatari II__Nekketsu-hen
197,Made in Abyss Movie 2: Hourou Suru Tasogare,8.37,198,1670,120367,197,Kinema Citrus,1,"Adventure, Drama, Fantasy, Mystery, Sci-Fi","Gore, Survival",Shounen,R - 17+ (violence & profanity),1 hr. 45 min.,Movie,Jan 18/2019,The movie is a compilation of episodes 9-13 of the 2017 television series. Riko and Reg descend to the third layer where Riko has her first experience of the Curse. They descend to the fourth layer where Riko arm is injured by an Orbed Piercer and Reg tries to save her. Nanachi comes to their aid and saves Riko poisoned arm. In return Nanachi asks Reg to kill her immortal companion Mitty. Nanachi then joins Riko and Reg in their quest to reach the bottom of the Abyss.(Source: Wikipedia),"{'Full story': 'Made in Abyss', 'Sequel': 'Made in Abyss Movie 3__Fukaki Tamashii no Reimei', 'Prequel': 'Made in Abyss Movie 1__Tabidachi no Yoake'}",{},,,[],,Made in Abyss Movie 1__Tabidachi no Yoake,,,Made in Abyss Movie 3__Fukaki Tamashii no Reimei
198,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.37,199,1122,193817,1023,Shaft,1,"Drama, Suspense","Mahou Shoujo, Psychological",Shounen,PG-13 - Teens 13 or older,1 hr. 49 min.,Movie,Oct 13/2012,"Though Sayaka Miki wish was fulfilled, the unforeseen consequences that came with it overwhelm her, causing her soul gem to become tainted as she succumbs to despair and eventually loses her humanity. Homura Akemi reveals to Kyouko Sakura and Madoka Kaname the ultimate fate of magical girls: once their soul gem becomes tainted, it transforms into a Grief Seed, and they are reborn as witches—a truth Homura learned only through repeating history countless times in a bid to prevent Madoka tragedy.Kyuubey only compounds their despair when he confesses his true intentions: to harness the energy created from magical girls and use it to prolong the life of the universe. As the threat of Walpurgisnacht, a powerful witch, looms overhead, Homura once again vows to protect Madoka and the world from a grim fate.Caught between honoring Homura wish and saving the world, which one will Madoka choose in the end?Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari is a story of inescapable destiny, and an unlikely hero who could change it all.","{'Alternative version': 'Mahou Shoujo Madoka★Magica', 'Prequel': 'Mahou Shoujo Madoka★Magica Movie 1__Hajimari no Monogatari', 'Sequel': 'Mahou Shoujo Madoka★Magica Movie 3__Hangyaku no Monogatari'}","{'Homura Akemi': 'Main', 'Madoka Kaname': 'Main', 'Kyouko Sakura': 'Main', 'Sayaka Miki': 'Supporting', 'Mami Tomoe': 'Supporting', 'Junko Kaname': 'Supporting', 'Hitomi Shizuki': 'Supporting', 'Tatsuya Kaname': 'Supporting'}",Homura Akemi,"['Madoka Kaname', 'Kyouko Sakura']","['Sayaka Miki', 'Mami Tomoe', 'Junko Kaname', 'Hitomi Shizuki', 'Tatsuya Kaname']",,Mahou Shoujo Madoka★Magica Movie 1__Hajimari no Monogatari,Mahou Shoujo Madoka★Magica,,Mahou Shoujo Madoka★Magica Movie 3__Hangyaku no Monogatari
199,Mushoku Tensei: Isekai Ittara Honki Dasu,8.37,200,118,1124285,27762,Studio Bind,11,"Drama, Fantasy, Ecchi","Isekai, Reincarnation",Shounen,R - 17+ (violence & profanity),23 min. ,TV,Jan 11/2021 to Mar 22/2021,"Despite being bullied, scorned, and oppressed all of his life, a 34-year-old shut-in still found the resolve to attempt something heroic—only for it to end in a tragic accident. But in a twist of fate, he awakens in another world as Rudeus Greyrat, starting life again as a baby born to two loving parents.Preserving his memories and knowledge from his previous life, Rudeus quickly adapts to his new environment. With the mind of a grown adult, he starts to display magical talent that exceeds all expectations, honing his skill with the help of a mage named Roxy Migurdia. Rudeus learns swordplay from his father, Paul, and meets Sylphiette, a girl his age who quickly becomes his closest friend.As Rudeus' second chance at life begins, he tries to make the most of his new opportunity while conquering his traumatic past. And perhaps, one day, he may find the one thing he could not find in his old world—love.","{'Adaptation': 'Mushoku Tensei__Isekai Ittara Honki Dasu', 'Sequel': 'Mushoku Tensei__Isekai Ittara Honki Dasu Part 2'}","{'Roxy Migurdia': 'Main', 'Rudeus Greyrat': 'Main', 'Eris Boreas Greyrat': 'Main', 'Ruijerd Superdia': 'Main', 'Ghislaine Dedoldia': 'Supporting', 'Paul Greyrat': 'Supporting', 'Zenith Greyrat': 'Supporting', 'Aisha Greyrat': 'Supporting'}",Roxy Migurdia,"['Rudeus Greyrat', 'Eris Boreas Greyrat', 'Ruijerd Superdia']","['Ghislaine Dedoldia', 'Paul Greyrat', 'Zenith Greyrat', 'Aisha Greyrat']",Mushoku Tensei__Isekai Ittara Honki Dasu,,,,Mushoku Tensei__Isekai Ittara Honki Dasu Part 2
200,Mahou Shoujo Madoka★Magica,8.36,201,98,1221673,52074,Shaft,12,"Award Winning, Drama, Suspense","Mahou Shoujo, Psychological",Shounen,PG-13 - Teens 13 or older,24 min. ,TV,Jan 7/2011 to Apr 22/2011,"Madoka Kaname and Sayaka Miki are regular middle school girls with regular lives, but all that changes when they encounter Kyuubey, a cat-like magical familiar, and Homura Akemi, the new transfer student.Kyuubey offers them a proposition: he will grant any one of their wishes and in exchange, they will each become a magical girl, gaining enough power to fulfill their dreams. However, Homura Akemi, a magical girl herself, urges them not to accept the offer, stating that everything is not what it seems.A story of hope, despair, and friendship, Mahou Shoujo Madoka★Magica deals with the difficulties of being a magical girl and the price one has to pay to make a dream come true.","{'Adaptation': 'Mahou Shoujo Madoka★Magica', 'Other': 'Mahou Shoujo Sonico★Magica', 'Alternative version': 'Mahou Shoujo Madoka★Magica Movie 1__Hajimari no Monogatari', 'Sequel': 'Mahou Shoujo Madoka★Magica Movie 3__Hangyaku no Monogatari', 'Side story': 'Magia Record__Mahou Shoujo Madoka☆Magica Gaiden PV'}","{'Homura Akemi': 'Main', 'Madoka Kaname': 'Main', 'Kyouko Sakura': 'Main', 'Sayaka Miki': 'Main', 'Mami Tomoe': 'Main', 'Junko Kaname': 'Main', 'Hitomi Shizuki': 'Supporting'}",Homura Akemi,"['Madoka Kaname', 'Kyouko Sakura', 'Sayaka Miki', 'Mami Tomoe', 'Junko Kaname']",['Hitomi Shizuki'],Mahou Shoujo Madoka★Magica,,Mahou Shoujo Madoka★Magica Movie 1__Hajimari no Monogatari,Magia Record__Mahou Shoujo Madoka☆Magica Gaiden PV,Mahou Shoujo Madoka★Magica Movie 3__Hangyaku no Monogatari
201,Haikyuu!! To the Top,8.36,202,179,862345,4987,Production I.G,13,"Award Winning, Drama, Suspense","School, Team Sports",Shounen,PG-13 - Teens 13 or older,24 min. ,TV,Jan 11/2020 to Apr 4/2020,"After their triumphant victory over Shiratorizawa Academy, the Karasuno High School volleyball team has earned their long-awaited ticket to nationals. As preparations begin, genius setter Tobio Kageyama is invited to the All-Japan Youth Training Camp to play alongside fellow nationally recognized players. Meanwhile, Kei Tsukishima is invited to a special rookie training camp for first-years within the Miyagi Prefecture. Not receiving any invitations himself, the enthusiastic Shouyou Hinata feels left behind.However, Hinata does not back down. Transforming his frustration into self-motivation, he boldly decides to sneak himself into the same rookie training camp as Tsukishima. Even though Hinata only lands himself a job as the ball boy, he comes to see this as a golden opportunity. He begins to not only reflect on his skills as a volleyball player but also analyze the plethora of information available on the court and how he can apply it.As the much-anticipated national tournament approaches, the members of Karasuno volleyball team attempt to overcome their weak points and refine their skills, all while aiming for the top!","{'Adaptation': 'Haikyuu!!', 'Prequel': 'Haikyuu!! Riku vs. Kuu', 'Sequel': 'Haikyuu!! To the Top Part 2'}","{'Shouyou Hinata': 'Main', 'Tobio Kageyama': 'Main', 'Yuu Nishinoya': 'Supporting', 'Kenma Kozume': 'Supporting', 'Kei Tsukishima': 'Supporting', 'Koutarou Bokuto': 'Supporting', 'Tetsurou Kuroo': 'Supporting', 'Koushi Sugawara': 'Supporting', 'Keiji Akaashi': 'Supporting', 'Ryuunosuke Tanaka': 'Supporting'}",Shouyou Hinata,['Tobio Kageyama'],"['Yuu Nishinoya', 'Kenma Kozume', 'Kei Tsukishima', 'Koutarou Bokuto', 'Tetsurou Kuroo', 'Koushi Sugawara', 'Keiji Akaashi', 'Ryuunosuke Tanaka']",Haikyuu!!,Haikyuu!! Riku vs. Kuu,,,Haikyuu!! To the Top Part 2
202,Kaze no Tani no Nausicaä,8.36,203,608,352374,4831,Topcraft,1,"Adventure, Award Winning, Fantasy","School, Team Sports",Shounen,PG-13 - Teens 13 or older,1 hr. 57 min.,Movie,Mar 11/1984,"A millennium has passed since the catastrophic nuclear war named the ""Seven Days of Fire,"" which destroyed nearly all life on Earth. Humanity now lives in a constant struggle against the treacherous jungle that has evolved in response to the destruction caused by mankind. Filled with poisonous spores and enormous insects, the jungle spreads rapidly across the Earth and threatens to swallow the remnants of the human race.Away from the jungle exists a peaceful farming kingdom known as the ""Valley of the Wind,"" whose placement by the sea frees it from the spread of the jungle deadly toxins. The Valley charismatic young princess, Nausicaä, finds her tranquil kingdom disturbed when an airship from the kingdom of Tolmekia crashes violently in the Valley. After Nausicaä and the citizens of the Valley find a sinister pulsating object in the wreckage, the Valley is suddenly invaded by the Tolmekian military, who intend to revive a dangerous weapon from the Seven Days of Fire. Now Nausicaä must fight to stop the Tolmekians from plunging the Earth into a cataclysm which humanity could never survive, while also protecting the Valley from the encroaching forces of the toxic jungle.",{'Adaptation': 'Kaze no Tani no Nausicaä'},{},,,[],Kaze no Tani no Nausicaä,,,,
